;MH;MW;LB;MH;MW;LB;MH;MW;LB
Datetime;N;N;N;O;O;O;S;S;S
01.07.2020;;;0;;;0;;;0
01.10.2020;;;;0;0;;;;
01.03.2021;;;;;;;;0;
01.04.2021;;0;;;;;;;
01.05.2021;0;;;;;;;;
01.06.2021;;;;;;;0;;
22.02.2022;670;1567;1716;1066;985;1138;629;935;1656
31.03.2022;761;1753;1844;1165;1085;1244;720;1051;1794
24.05.2022;864;1997;1993;1329;1223;1392;852;1165;1983
23.06.2022;928;2132;2090;1433;1309;1480;922;1249;2064
20.07.2022;980;2285;2169;1507;1373;1544;976;1369;2139
18.08.2022;1046;2391;2253;1583;1444;1619;1043;1504;2216
26.09.2022;1147;2538;2350;1690;1539;1730;1140;1707;2327
